章,戦,戦名,帯,ボス,陣形,敵デッキ,登用,前口上
4,2,千里行,官渡,,魚鱗,関羽〔漢寿亭侯〕、周倉〔刀持ち〕、廖化〔老将〕、陳到〔白毦〕、樊建〔伝令〕、宗預〔使者〕,関羽,五関を破って兄のもとへ急ぐ美髯公と道が交わった。青龍偃月刀に義理の通らぬ戦は無い。礼を尽くして立ち合え。
4,3,烏巣の火,官渡,,雁行,楽進〔先登〕、曹洪〔救主〕、郭嘉〔鬼才〕、荀彧〔王佐〕、劉曄〔智嚢〕、陳羣〔九品〕,郭嘉、荀彧,兵糧を焼くか守るかで官渡は決まる。曹の陣営は十勝十敗の算を立てて待ち構えていた。
4,4,毒士の帰順,官渡,,魚鱗,楽進〔先登〕、曹仁〔堅守〕、田豫〔国譲〕、賈詡〔毒士〕、李典〔慎重〕、劉曄〔智嚢〕,賈詡、李典,かつて曹操を最も追い詰めた毒士が、あっさりと軍門に加わった。読み合いで勝てるか試される。
4,5,長駆の斧,官渡,,鶴翼,徐晃〔長駆〕、張郃〔巧変〕、楽進〔先登〕、田豫〔国譲〕、陳羣〔九品〕、劉曄〔智嚢〕,徐晃、張郃,敵中を長駆して敵塁を抜く斧と、袁を見限った巧変の将。降した将ほど頼りになる。
4,6,冀州の名門,官渡,,雁行,文醜〔河北の勇〕、韓遂〔九曲〕、袁紹〔盟主〕、田豊〔剛直〕、沮授〔監軍〕、張宝〔地公将軍〕,袁紹、田豊,四世三公の名門・袁本初が官渡に大軍を布いた。数はあちらが上。ゆえに崩し方が要る。
4,7,乱世の奸雄,官渡,1,鶴翼,曹操〔魏王〕、張遼〔逍遥津〕、楽進〔先登〕、田豫〔国譲〕、陳羣〔九品〕、劉曄〔智嚢〕,曹操、張遼,治世の能臣、乱世の奸雄。官渡を制した曹孟徳が自ら軍を進めてきた。ここを越えれば中原に名が届く。
5,1,三顧の礼,官渡,,雁行,陳到〔白毦〕、馬岱〔追撃〕、諸葛亮〔臥龍〕、馬良〔白眉〕、樊建〔伝令〕、宗預〔使者〕,諸葛亮,草廬を三度訪ねよ、と言われた。伏龍は軽くは動かぬ。まず布陣で器を示せという。
5,2,長坂坡,官渡,,魚鱗,趙雲〔長坂坡〕、陳到〔白毦〕、周倉〔刀持ち〕、馬良〔白眉〕、樊建〔伝令〕、宗預〔使者〕,趙雲,阿斗を懐に敵中を七度駆けた白馬の将。単騎で万に値する武を、目の前で見ることになる。
5,3,錦帆賊,官渡,,魚鱗,甘寧〔錦帆賊〕、董襲〔断纜〕、陳武〔廬江〕、蒋欽〔射術〕、丁奉〔雪中〕、呂範〔子衡〕,甘寧、蒋欽,鈴の音がしたら錦帆賊が来る。百騎で敵営を劫かす男は、雇い主も新しい鈴で選ぶ。
5,4,断金の交,官渡,,鶴翼,凌統〔断金〕、周泰〔身代〕、黄蓋〔苦肉〕、全琮〔護軍〕、魯粛〔塌上策〕、呂範〔子衡〕,凌統、魯粛,父の仇と同じ軍で戦えるか。断金の交わりに至る前の、いちばん硬い呉の陣である。
5,5,詐降の書,官渡,,雁行,黄蓋〔苦肉〕、周泰〔身代〕、闞沢〔詐降の証〕、龐統〔鳳雛〕、張昭〔文淵〕、徐盛〔疑城〕,闞沢、龐統,苦肉の計に詐降の書、連環の献策。赤壁の仕掛けが静かに束ねられていく。看破できるか。
5,6,赤壁,官渡,1,雁行,甘寧〔錦帆賊〕、黄蓋〔苦肉〕、周瑜〔赤壁〕、韓当〔老弓〕、丁奉〔雪中〕、呂範〔子衡〕,周瑜,東南の風が吹いた。美周郎の号令一下、火は長江を渡る。歴史ごと焼き尽くす前に、大都督を止めよ。
6,1,弓腰姫,赤壁,,雁行,周泰〔身代〕、全琮〔護軍〕、孫尚香〔弓腰姫〕、韓当〔老弓〕、徐盛〔疑城〕、丁奉〔雪中〕,孫尚香,輿入れの列の護衛がみな弓を帯びている。姫が先頭で構えているのだから当然である。
6,2,西涼の錦,赤壁,,鶴翼,馬超〔錦馬超〕、馬騰〔西涼〕、馬岱〔追撃〕、韓遂〔九曲〕、張宝〔地公将軍〕、紀霊〔三尖刀〕,馬超,潼関で曹操に髭を切らせた錦馬超が、西涼鉄騎を率いて堰を切った。騎馬の洪水を受け止めよ。
6,3,入蜀,赤壁,,魚鱗,厳顔〔老当〕、張任〔落鳳〕、呉懿〔外戚〕、法正〔翼侯〕、馬良〔白眉〕、樊建〔伝令〕,法正、呉懿,蜀の険は兵より固い。老将は斬られても頭を下げず、雒城の軍師は落鳳坡で矢を待つ。
6,4,定軍山,赤壁,,魚鱗,夏侯淵〔神速〕、張郃〔巧変〕、徐晃〔長駆〕、黄忠〔定軍山〕、李典〔慎重〕、陳羣〔九品〕,黄忠、夏侯淵,三日で五百里を駆ける神速の将と、白髪の弓卿が同じ山で相まみえる。頂を取った側が勝つ。
6,5,樊城,赤壁,,鶴翼,龐徳〔白馬〕、于禁〔毅重〕、曹仁〔堅守〕、楽進〔先登〕、満寵〔剛毅〕、劉曄〔智嚢〕,于禁、龐徳,棺を担いで出陣する白馬の将と、三十年無敗の毅重将軍。大雨の樊城で、忠義の形が二つに割れる。
6,6,白衣渡江,赤壁,1,雁行,甘寧〔錦帆賊〕、周泰〔身代〕、呂蒙〔白衣〕、孫権〔碧眼〕、徐盛〔疑城〕、蒋欽〔射術〕,呂蒙、孫権,商人に化けた兵が烽火台を黙らせた。呉下の阿蒙にあらず──士は別れて三日たてば刮目して見よ。
7,1,濡須の返し矢,赤壁,,魚鱗,朱桓〔濡須〕、朱然〔江陵〕、周泰〔身代〕、徐盛〔疑城〕、丁奉〔雪中〕、呂範〔子衡〕,朱桓、朱然,夷陵のあと、魏は勝ち馬に乗ろうと南下した。濡須と江陵、二人の朱がそれを笑って弾き返す。
7,2,呉蜀再盟,赤壁,,雁行,陳到〔白毦〕、王平〔無当〕、鄧芝〔外交〕、蒋琬〔社稷〕、馬良〔白眉〕、樊建〔伝令〕,鄧芝、蒋琬,火は消えた。あとは言葉の仕事である。釜茹でを笑って受ける使者が、同盟を結び直しに来た。
7,3,南蛮の炎,赤壁,,鶴翼,孟獲〔南蛮王〕、紀霊〔三尖刀〕、張任〔落鳳〕、韓遂〔九曲〕、祝融〔火神〕、張宝〔地公将軍〕,孟獲、祝融,七たび捕えて七たび放て。南蛮王は何度でも来る。火神の飛刀を躱しながら、心を攻めよ。
7,4,街亭,赤壁,,雁行,王平〔無当〕、陳到〔白毦〕、馬謖〔幼常〕、費禕〔大将軍〕、馬良〔白眉〕、蒋琬〔社稷〕,馬謖、費禕,山上に布陣すべきか、街道を塞ぐべきか。兵法どおりに敗れた才人の轍を、目の前でなぞるな。
7,5,石亭の計,赤壁,1,雁行,朱桓〔濡須〕、周泰〔身代〕、陸遜〔夷陵〕、韓当〔老弓〕、徐盛〔疑城〕、丁奉〔雪中〕,陸遜,夷陵で蜀を焼いた書生が、石亭で魏をも誘い込んだ。地味な顔で戦だけ巧い。最も厄介な型である。
8,1,九錫の詔,赤壁,,雁行,曹彰〔黄鬚〕、許褚〔虎痴〕、曹丕〔文帝〕、陳羣〔九品〕、劉曄〔智嚢〕、満寵〔剛毅〕,曹丕、曹彰,漢は禅譲で幕を引き、魏文帝が立った。黄鬚の弟が武を、九品の制が政を固める。新しい王朝の陣である。
8,2,陳倉の火矢,赤壁,,魚鱗,郝昭〔陳倉〕、曹真〔大司馬〕、王双〔大刀〕、満寵〔剛毅〕、劉曄〔智嚢〕、陳羣〔九品〕,郝昭、曹真,千の兵で数万を防いだ小城がある。雲梯は焼け、地道は崩された。城攻めの教科書と戦え。
8,3,雍涼の備え,赤壁,,鶴翼,王双〔大刀〕、郭淮〔雍涼〕、曹仁〔堅守〕、楽進〔先登〕、李典〔慎重〕、劉曄〔智嚢〕,王双、郭淮,大刀の猛将と、雍涼を四十年守った地味な名将。派手さは無いが、隙も無い。
8,4,北伐の先鋒,赤壁,,鶴翼,魏延〔子午〕、夏侯霸〔帰蜀〕、王平〔無当〕、陳到〔白毦〕、馬良〔白眉〕、樊建〔伝令〕,魏延、夏侯霸,子午谷を直進せよと反骨の将が唱え、魏を捨てた夏侯の子が蜀の先導を買って出る。北伐の刃は鋭い。
8,5,東興の奇策,赤壁,,雁行,朱桓〔濡須〕、周泰〔身代〕、諸葛恪〔元遜〕、丁奉〔雪中〕、徐盛〔疑城〕、呂範〔子衡〕,諸葛恪,雪の中、短兵を奮って堤を奪い返した戦がある。才気走った太傅の采配は、切れる時は切れる。
8,6,西陵の堅塁,赤壁,,魚鱗,陸抗〔羊陸之交〕、朱然〔江陵〕、周泰〔身代〕、徐盛〔疑城〕、蒋欽〔射術〕、闞沢〔詐降の証〕,陸抗,呉最後の名将は、敵将と薬を贈り合いながら一歩も引かない。信義と用兵が両立する見本である。
8,7,九伐中原,赤壁,,鶴翼,姜維〔幼麟〕、傅僉〔守将〕、王平〔無当〕、陳到〔白毦〕、馬良〔白眉〕、宗預〔使者〕,姜維、傅僉,丞相の遺志は幼麟が継いだ。九たび中原へ兵を出し、九たび退いてなお止まぬ執念と刃を交える。
8,8,蜀を滅ぼす二士,赤壁,,魚鱗,鍾会〔士季〕、鄧艾〔陰平〕、王双〔大刀〕、賈詡〔毒士〕、劉曄〔智嚢〕、陳羣〔九品〕,鍾会、鄧艾,一人は堂々と剣閣を抑え、一人は陰平の獣道を七百里踏破した。二士が並べば国が一つ落ちる。
8,9,五丈原,赤壁,1,雁行,張郃〔巧変〕、曹真〔大司馬〕、司馬懿〔冢虎〕、李典〔慎重〕、満寵〔剛毅〕、劉曄〔智嚢〕,司馬懿,冢虎は動かない。営を固く閉ざし、時が敵を殺すのを待つ。持久の名人を、力ずくで開けてみせよ。
