兵法名,武将,コスト,対象,効果,消費ゲージ%,効果数,発動型,説明
長駆直入,徐晃〔長駆〕,8,敵1体（正面）,ダメージ 威力941% + 防御力 -15%（30秒）,300,2,,§7.231 で外した 移動速度 +25% の代替。長駆直入＝敵陣へ一直線に切り込んで崩す、なので自分の強化ではなく相手の防御を削る（テストプレイの裁定）。15%は家の標準（徐庶・諸葛瑾・荀攸）
巧変,張郃〔巧変〕,8,敵1体（正面）,ダメージ 威力871% + 防御力 +20%（34秒）,300,2,,
百歩穿楊,黄忠〔定軍山〕,8,敵1体（残兵力が最少）,ダメージ 威力881%,300,1,,
九伐中原,姜維〔幼麟〕,8,敵1列,ダメージ 威力1900%,300,1,,
百騎劫営,甘寧〔錦帆賊〕,8,敵1体（知略が最高）,ダメージ 威力1950% + 畏怖 -12%（25秒）,300,2,,
碧眼児の号令,孫権〔碧眼〕,8,味方全体,攻撃力 +6%（43秒） + 防御力 +5%（43秒）,150,2,,
白衣渡江,呂蒙〔白衣〕,8,敵後列,ダメージ 威力652% + 攻撃力 -10%（35秒）,300,2,,
十勝十敗,郭嘉〔鬼才〕,7,敵全体,攻撃力 -6%（45秒）,150,1,,
悪来,典韋〔古之悪来〕,7,敵1体（前衛の主力）,ダメージ 威力1600% + 反動 攻撃力 -15%（60秒）,300,2,,
毅重,于禁〔毅重〕,7,自分と右隣,防御力 +30%（30秒） → その後 攻撃力 +30%（20秒）,150,1,,毅重。まず自分と右隣で守りを固め、しのぎ切ってから攻めに転じる
連環の鎖,龐統〔鳳雛〕,7,敵1列,行動阻害 3秒,150,1,,
子午の奇襲,魏延〔子午〕,7,敵1体（知略が最高）,ダメージ 威力861%,300,1,,
河北の驍将,顔良〔河北の驍〕,6,敵1体（正面）,ダメージ 威力300%,75,1,手数,
榻上の策,魯粛〔榻上策〕,7,味方全体,攻撃力 +3%（72秒） + 防御力 +3%（72秒）,150,2,,榻上で孫権に天下二分を説いた長計 — 味方全体の攻めと守りを薄く長く支える号令。曹操・司馬昭の号令（短く大きく）とは長さで分かれる。山場には薄い
逍遥津の奮戦,凌統〔公績〕,7,敵1体（正面）,ダメージ 威力839%,300,1,,逍遥津で孫権を守って奮戦した逸話 — 正面の敵1隊への大技
陰平越え,鄧艾〔陰平〕,6,敵後列,ダメージ 威力757%,300,1,,
駆虎吞狼,荀彧〔王佐〕,6,敵後衛,混乱 15%（10秒）,150,1,,
神速,夏侯淵〔神速〕,6,敵1体（正面）,ダメージ 威力330%,75,1,手数,
麒麟児,関平〔麒麟児〕,6,敵1体（正面）,ダメージ 威力738%,300,1,,
献策,法正〔翼侯〕,6,味方1列,攻撃力 +16%（30秒）,150,1,,
河北の勇,文醜〔河北の勇〕,5,敵1列,ダメージ 威力932%,300,1,,
火船突入,黄蓋〔苦肉〕,6,敵1列,継続ダメージ 威力35%（13秒）,300,1,,火船で敵陣へ突っ込む — 敵1列を延焼させる火攻め。自傷はない
老練の采配,程普〔老練〕,6,味方1列,攻撃力 +8%（48秒） + 防御力 +14%（48秒）,150,2,,
士季の計,鍾会〔士季〕,5,敵1体（知略が最低）,ダメージ 威力652%,300,1,,
離間の計,賈詡〔毒士〕,5,敵1列,混乱 25%（9秒）,150,1,,
先登,楽進〔先登〕,5,敵1体（正面）,行動阻害 8秒,150,1,,
斉射,李典〔慎重〕,5,敵前衛,ダメージ 威力220%,75,1,手数,
街亭,馬謖〔幼常〕,5,敵1列,継続ダメージ 威力42%（13秒）,300,1,,
無当飛軍,王平〔無当〕,5,敵前衛,引き延ばし 150%,300,1,大技,
連射,韓当〔老弓〕,5,敵1列,ダメージ 威力150%,75,1,手数,
江陵の籠城,朱然〔江陵〕,5,味方1列,防御力 +18%（44秒） + 回復 攻撃力の40%,150,2,,
雍涼の備,郭淮〔雍涼〕,4,敵1体（正面）,ダメージ 威力534%,300,1,,
謀主,荀攸〔謀主〕,4,敵1列,継続ダメージ 威力29%（13秒） + 防御力 -15%（30秒）,300,2,,曹操の謀主として十二の奇策を献じた逸話 — 敵1列に弱点を作り、少し焼いて味方の攻めを通す。火攻め（周瑜・黄蓋・陸遜）より削りは小さく、守りを崩すのが本業。味方の火力が無いと薄い
鉄壁,曹仁〔堅守〕,4,味方1列,防御力 +24%（40秒）,150,1,,
陥陣営,高順〔陥陣〕,4,敵1体（正面）,ダメージ 威力370%,75,1,手数,
公台の策,陳宮〔公台〕,4,敵全体,攻撃力 -5%（35秒）,150,1,,
落鳳坡,張任〔落鳳〕,4,敵1体（知略が最高）,ダメージ 威力534%,300,1,,
疑城の計,徐盛〔疑城〕,4,敵全体,畏怖 -12%（30秒・知力比）,150,1,,
救主の奮戦,周泰〔身代〕,4,味方1体（残兵力が最少）,回復 攻撃力の177%,150,1,,主君を救って傷だらけになった逸話 — いちばん減った味方1隊の兵を立て直す回復。損害を代わりに受ける効果ではない
剛毅,満寵〔剛毅〕,3,敵1体（残兵力が最少）,ダメージ 威力405%,300,1,,
救主,曹洪〔救主〕,3,味方1体（残兵力が最少）,回復 攻撃力の143%,150,1,,
追撃,馬岱〔追撃〕,3,敵1体（残兵力が最少）,ダメージ 威力432%,300,1,,
白毦の突き,陳到〔白毦〕,3,敵1体（正面）,ダメージ 威力450%,300,1,,
殿軍,廖化〔老将〕,3,敵1体（正面）,行動阻害 5秒 → その後 攻撃力 -10%（20秒）,150,1,,殿軍。足を止めさせ、立ち直った後もしばらく勢いを欠かせる
老当益壮,厳顔〔老当〕,3,敵1列,ダメージ 威力444%,300,1,,
陽安関の反撃,傅僉〔守将〕,3,敵1体（前衛の主力）,ダメージ 威力420% + 防御力 +12%（30秒）,300,2,,
子瑜の弁,諸葛瑾〔子瑜〕,3,敵前衛,防御力 -16%（35秒）,150,1,,
揚州の驍,楽綝〔揚州〕,2,敵1体（正面）,ダメージ 威力175%,75,1,手数,
督運,李厳〔正方〕,2,味方後衛,攻撃力 +8%（27秒）,150,1,,
越巂の鎮,張嶷〔越巂〕,2,味方1列,防御力 +18%（33秒）,150,1,,
堅陣,呉懿〔外戚〕,2,敵1体（正面）,行動阻害 4秒,150,1,,
断纜,董襲〔断纜〕,2,敵1体（正面）,ダメージ 威力331%,300,1,,
急襲,潘璋〔急襲〕,2,敵1体（知略が最高）,ダメージ 威力339%,300,1,,
江東の柱石,張昭〔子布〕,2,味方全体,攻撃力 +4%（27秒）,150,1,,
雪中奮短兵,丁奉〔雪中〕,2,敵1体（正面）,ダメージ 威力500%,300,1,,
国譲の守,田豫〔国譲〕,1,敵1体（正面）,行動阻害 3秒,150,1,,
糧道,糜竺〔子仲〕,1,味方前衛,攻撃力 +4%（25秒）,150,1,,
弁舌,簡雍〔憲和〕,1,敵全体,攻撃力 -4%（18秒）,150,1,,
伝令,樊建〔伝令〕,1,味方全体,攻撃力 +3%（25秒）,150,1,,
結盟,宗預〔使者〕,1,自分と前衛1体,攻撃力 +8%（25秒）,150,1,,
従事,孫乾〔従事〕,1,味方1列,防御力 +16%（26秒）,150,1,,
子衡の備,呂範〔子衡〕,1,敵正面2体,行動阻害 1秒,150,1,,
護軍の迎撃,全琮〔護軍〕,1,敵1体（正面）,ダメージ 威力115%,75,1,手数,護軍として正面の敵を迎え撃つ小さな一撃（手数）
虎牢突撃,孫堅〔江東の虎〕,9,敵前衛,ダメージ 威力3200% + 代償 兵力15%,300,2,,
黄天の妖術,張角〔太平道〕,9,敵全体,継続ダメージ 威力25%（12秒） + 混乱 20%（8秒）,300,2,,
反董卓連合,袁紹〔盟主〕,10,味方全体,攻撃力 +10%（18秒）,150,1,,
西陵の堅塁,陸抗〔羊陸之交〕,10,味方全体,兵法防御 +30%（58秒）,150,1,,
九錫の詔,曹丕〔文帝〕,9,味方後衛,攻撃力 +17%（60秒） + 防御力 +17%（60秒）,150,2,,
蛮兵の猛進,孟獲〔南蛮王〕,9,敵前衛,ダメージ 威力2900% + 代償 兵力15%,300,2,,
抬櫬の決戦,龐徳〔白馬〕,8,敵1体（正面）,ダメージ 威力2200% + 代償 兵力15%,300,2,,
東興の奇策,諸葛恪〔元遜〕,9,敵正面2体,ダメージ 威力850%,300,1,,
白馬義従,公孫瓚〔白馬義従〕,7,敵前衛,ダメージ 威力1750%,300,1,,
火神の飛刀,祝融〔火神〕,8,敵後衛,継続ダメージ 威力128%（10秒）,300,1,,
陰平の先導,夏侯霸〔帰蜀〕,7,自分と前衛1体,攻撃力 +16%（60秒）,150,1,,
黄鬚の突貫,曹彰〔黄鬚〕,7,敵1体（前衛の主力）,ダメージ 威力700% + 攻撃力 +15%（15秒）,150,2,標準,
傾国の舞,貂蝉〔傾国〕,7,敵前衛,混乱 25%（14秒）,150,1,,
剛直の諫言,田豊〔剛直〕,7,味方前衛,兵法打消し 2発（60秒）,150,1,,
濡須の返し矢,朱桓〔濡須〕,7,自分,兵法反射 +50%（52秒）,150,1,,
大司馬の陣,曹真〔大司馬〕,7,味方全体,防御力 +12%（30秒）,150,1,,
西涼鉄騎,馬騰〔西涼〕,5,味方1列,攻撃力 +14%（43秒）,150,1,,
弓腰姫の狙撃,孫尚香〔弓腰姫〕,6,敵1体（知略が最高）,ダメージ 威力267〜890%,300,1,,弓腰姫の狙撃 — 幅は中央値で値付けし盤面は一様抽選（§7.67）。§7.224 で対象倍率を正面と同額の 1.286 へ上げた際、平らな 579% へ落とすと狙撃という札の性格が失われるため、上端を 890%（従来 952% の 93%）に残したまま中央を上限（0.45×6=2.70）ぴったりに収めた
漢中の督軍,費禕〔大将軍〕,6,味方後衛,防御力 +15%（41秒）,150,1,,
陳倉の備え,郝昭〔陳倉〕,6,味方全体,兵法防御 +25%（54秒）,150,1,,陳倉の城を守り切った備え — 味方全体の兵法への備えを固める
汜水関の大刀,華雄〔汜水関〕,5,敵1体（前衛の主力）,ダメージ 威力2200% + 代償 兵力15%,300,2,,
監軍の戒め,沮授〔監軍〕,5,味方1列,通常攻撃防御 +15%（23秒）,150,1,,
山越討伐,賀斉〔山越討伐〕,5,敵1列,ダメージ 威力669%,300,1,,
江夏の水軍,文聘〔江夏〕,5,敵後衛,行動阻害 2秒,150,1,,
流星鎚,王双〔大刀〕,4,敵1体（正面）,ダメージ 威力950% + 行動阻害 2秒,300,2,,
濡須の督戦,蒋欽〔射術〕,4,味方後衛,攻撃力 +13%（60秒）,150,1,,濡須の陣で兵を督して後ろの弓隊の射撃を鋭くする — 味方後衛の攻撃力を上げる支援。自分の火力は上がらない
白眉の進言,馬良〔白眉〕,4,自分,写し取り 決戦型（35秒）,150,1,標準,
誅董の密詔,王允〔連環計〕,4,敵1体（知略が最低）,ダメージ 威力1400〜2600% + 代償 兵力20%,300,2,,
仲家の施し,袁術〔仲家〕,3,味方1体（残兵力が最少）,回復 攻撃力の147%,150,1,,
捨て身の迎撃,周倉〔刀持ち〕,3,敵1体（前衛の主力）,ダメージ 威力950% + 反動 攻撃力 -10%（30秒）,300,2,,身を捨てて敵の主力へ斬り込む — 敵1隊への一撃と、その後の自身の攻撃力低下（反動）。味方を庇う効果ではない（庇うのは特性の馬前）
廬江の突入,陳武〔廬江〕,3,敵1体（残兵力が最少）,ダメージ 威力200%,75,1,手数,
荊州の静観,劉表〔八俊〕,3,自分,防御力 +12%（19秒）,150,1,,
三尖刀,紀霊〔三尖刀〕,2,敵1体（正面）,ダメージ 威力150%,75,1,手数,
同盟の使者,鄧芝〔外交〕,2,自分と前衛1体,防御力 +17%（60秒）,150,1,,
丞相の遺法,蒋琬〔社稷〕,2,味方後衛,兵法防御 +20%（30秒）,150,1,,
霹靂車,劉曄〔智嚢〕,2,敵後衛,ダメージ 威力294% + 行動阻害 1秒,300,2,,
九曲の遁走,韓遂〔九曲〕,1,自分,回復 攻撃力の70%,150,1,,
妖術の霧,張宝〔地公将軍〕,1,敵1体（知略が最低）,混乱 20%（10秒）,150,1,,
詐降の書,闞沢〔詐降の証〕,1,敵正面2体,畏怖 -10%（30秒・知力比）,150,1,,
九品官人法,陳羣〔九品〕,1,味方1体（攻撃力が最高）,攻撃力 +15%（51秒）,150,1,,
討曹の檄,陳琳〔檄文〕,1,敵全体,畏怖 -5%（20秒・知力比）,150,1,標準,
赤幘の囮,祖茂〔赤幘〕,1,敵前衛,攻撃力 -8%（20秒）,150,1,標準,
葭萌の固守,霍峻〔葭萌〕,2,味方後衛,兵法打消し 1発（30秒）,150,1,標準,
射眼の一矢,曹性〔射眼〕,2,敵1体（前衛の主力）,ダメージ 威力330% + 行動阻害 1秒,300,2,大技,
四庭柱の突き,高覧〔四庭柱〕,3,敵1体（正面）,ダメージ 威力520%,300,1,大技,
烏巣の火,許攸〔烏巣〕,3,敵前衛,継続ダメージ 威力39%（12秒）,300,1,大技,
夷陵の固守,孫桓〔夷陵〕,4,自分と前衛1体,防御力 +15%（40秒）,150,1,標準,
藤甲兵,兀突骨〔藤甲〕,4,味方前衛,通常攻撃防御 +15%（30秒）,150,1,標準,
断髪の詐降,周魴〔断髪〕,6,敵前衛,混乱 20%（14秒）,150,1,標準,
青龍刀の継承,関興〔安国〕,6,敵1体（正面）,ダメージ 威力780% + 攻撃力 +8%（20秒）,300,2,大技,
麻沸散,華佗〔神医〕,6,味方全体,回復 攻撃力の70%,150,1,標準,
淮南討伐,司馬師〔景王〕,8,敵1列,ダメージ 威力900% + 畏怖 -10%（25秒）,300,2,大技,
晋王の号令,司馬昭〔晋王〕,8,味方全体（同じ勢力）,攻撃力 +14%（45秒）,150,1,標準,
元戎連弩,黄月英〔木牛流馬〕,8,敵1列,ダメージ 威力700%,300,1,大技,
八門金鎖破り,徐庶〔元直〕,9,敵前衛,防御力 -15%（40秒）,150,1,標準,曹仁の八門金鎖の陣を見破って崩した逸話 — 敵前衛の守りを崩して味方の攻めを通す（足止めも残す）。司馬懿の堅忍（敵全体の攻めと足止め）とは「守りを崩す／攻めを鈍らせる」で分かれる。後衛には効かない
虎豹騎の突撃,曹休〔千里駒〕,9,敵前衛,ダメージ 威力1300% + ゲージ阻害 4秒,300,2,大技,§7.231 で外した 移動速度 +30% の代替。ゲージ阻害は呂布〔虓虎〕（8秒）しか持っていない珍しい器なので、2枚目にして札の形を散らす。虎豹騎の急襲で相手の構えを崩す
荊州の徳政,羊祜〔徳政〕,10,味方全体,防御力 +12%（45秒） + 回復 攻撃力の80%,150,2,標準,
単騎駆け,文鴦〔単騎駆け〕,10,自分,攻撃力 +40%（18秒） + 通常攻撃防御 +20%（18秒） + 薙ぎ払い 2体（18秒）,75,3,手数,単騎で大軍を相手にする形（§7.252）。薙ぎ払いは**同時に2体へそれぞれ満額**で入る器（通常攻撃の総量が増える。対象が増えて薄まるのではない）。囲まれて振り回す形なので通常攻撃防御と対で持つ
