キー,名前,型,効果,備考,採用枚数,持つ武将,説明
avenge,弔い合戦,誘発,攻撃力 +4%（20秒）,ally_retreat で発動 / 対象 味方全体 / 1戦2回まで,3,凌統〔公績〕、祝融〔火神〕、関興〔安国〕,味方の隊が崩れた時、全軍の攻撃を上げる。弔旗と同じ条件・対象・持続・回数で、効き目が弱い版（+4%）。別の系統の能力ではない
double,影武者,誘発,回復 攻撃力の220%,self_low_hp で発動 / 対象 自分 / 1戦1回まで,2,周泰〔身代〕、諸葛恪〔元遜〕,自身の兵が減った時、自隊を一度だけ立て直す（自己回復。味方の損害を肩代わりする効果ではない）
command,本陣,常在,,本陣。全軍の兵力が増えるが、この隊の残存が閾値を割ると全軍が総崩れ（デッキに1人まで・数値は盤面の定数から表示）,3,袁紹〔盟主〕、費禕〔大将軍〕、劉表〔八俊〕,
lastplan,遺計,誘発,行動阻害 24秒,self_dead で発動 / 対象 敵1体（知略が最高） / 1戦1回まで,1,諸葛亮〔臥龍〕,
mochi,持重,誘発,回復 最大兵力の1.5%,foe_skill で発動 / 対象 味方1体（残兵力が最少） / 上限なし,1,沮授〔監軍〕,
cover,馬前,常在,,馬前。隣の前衛の騎兵が受ける矢の3割を代わりに受ける（前衛に置いたときだけ。庇う側の鎧で受け直す）,5,許褚〔虎痴〕、典韋〔古之悪来〕、楽進〔先登〕、陳到〔白毦〕、周倉〔刀持ち〕,
hakuba,白馬,常在,,白馬。矢を馬で避ける割合が上がる（馬上回避の上乗せ・騎兵にだけ効く）,1,公孫瓚〔白馬義従〕,
drunk,酒乱,常在,,酒乱。開幕から常に少し混乱している（同士討ちが出る・出力が落ちる。負の特性＝値段はマイナスで能力値へ返る）,0,,
jinchu,人中の呂布,誘発,ダメージ 威力150%,enemy_retreat で発動 / 対象 敵1体（残兵力が最少） / 1戦3回まで,1,呂布〔飛将〕,
kishin,鬼神,誘発,畏怖 -12%（20秒）,self_low_hp で発動 / 対象 敵前衛 / 1戦1回まで,1,呂布〔虓虎〕,
futou,不撓,誘発,回復 最大兵力の40%,self_dead で発動 / 対象 自分 / 1戦1回まで,1,文鴦〔単騎駆け〕,
foresight,機先,誘発,ゲージ阻害 30秒,foe_skill で発動 / 対象 その発動者 / 1戦3回まで,1,郭嘉〔鬼才〕,機先。敵が兵法を放った直後、その相手の気勢を挫いて次の一手を遅らせる（§7.200）。同じ刻に複数の敵が撃った時は、その全員が対象になり、回数は1回だけ減る
insight,洞察,常在,増幅 行動阻害中の敵への損害 +10%,常在 / 軍全体に乗る / 味方の与える損害すべて,1,龐統〔鳳雛〕,洞察。立ちすくんだ敵の隙を見抜き、味方全体の一撃が深く入る（§7.199）
